season,teamID,teamName,conference,seed,gamesPlayed,gamesWon,winPercentage,tempo,defensiveRebounds,blocks,defensiveEfficiency,steals,totalAssists,threePointAccuracy,freeThrowAccuracy,fieldGoalPercentage,turnoverPercentage,offensiveEfficiency,tournamentWins
2015,1107,SUNY Albany,America East Conference,14,33,24,0.7272727272727273,61.3,582,41,102.2,139,263,0.37531486146095716,0.7829457364341085,0.499,0.201,104.9,0
2015,1124,Baylor,Big 12 Conference,3,33,23,0.696969696969697,62.1,567,93,92.7,193,371,0.41277641277641275,0.6641221374045801,0.498,0.193,116.3,0
2015,1125,Belmont,Atlantic Sun Conference,15,32,21,0.65625,67.6,541,43,106.8,128,335,0.4124087591240876,0.6921182266009852,0.565,0.185,108.7,0
2015,1129,Boise St,Big West Conference,11,32,23,0.71875,63.4,579,59,96,139,289,0.4027504911591356,0.7317073170731707,0.532,0.19399999999999998,109.5,0
2015,1138,Buffalo,Mid-American Conference,12,33,23,0.696969696969697,68.9,623,103,98,193,334,0.36049382716049383,0.7124394184168013,0.48700000000000004,0.19699999999999998,109.1,0
2015,1140,BYU,Mountain West Conference,11,33,23,0.696969696969697,70.8,618,68,100.3,177,409,0.40816326530612246,0.768352365415987,0.532,0.177,118.3,0
2015,1157,Coastal Car,Big South Conference,16,30,20,0.6666666666666666,64.1,548,72,103,120,238,0.3756476683937824,0.7093821510297483,0.5,0.16899999999999998,104.5,0
2015,1172,Davidson,Southern Conference,10,31,23,0.7419354838709677,67.2,613,66,102.2,135,410,0.4064,0.6932367149758454,0.5539999999999999,0.17,118.3,0
2015,1186,E Washington,Big Sky Conference,13,32,23,0.71875,68.5,579,116,107.6,145,319,0.42105263157894735,0.7122736418511066,0.551,0.17800000000000002,110.1,0
2015,1208,Georgia,Southeastern Conference,10,33,21,0.6363636363636364,64.8,583,118,92.6,126,281,0.3806818181818182,0.6908396946564885,0.485,0.16699999999999998,107.6,0
2015,1214,Hampton,Mid-Eastern Athletic Conference,16,35,17,0.4857142857142857,69.6,449,82,102.3,112,189,0.34121621621621623,0.6701461377870563,0.456,0.201,94.8,0
2015,1217,Harvard,Ivy League,13,28,20,0.7142857142857143,61.6,488,91,94.9,131,277,0.3712121212121212,0.7305825242718447,0.47100000000000003,0.201,102.4,0
2015,1231,Indiana,Big Ten Conference,10,34,20,0.5882352941176471,67.2,533,75,103,101,307,0.42139737991266374,0.7125890736342043,0.544,0.159,119.5,0
2015,1235,Iowa St,Big 12 Conference,3,34,25,0.7352941176470589,69.8,682,97,95.6,157,425,0.3865877712031558,0.695575221238938,0.5429999999999999,0.185,116.9,0
2015,1248,Lafayette,Patriot League,16,32,19,0.59375,65.1,451,53,114.5,111,310,0.42613636363636365,0.7791044776119403,0.5579999999999999,0.168,109.8,0
2015,1261,LSU,Southeastern Conference,9,33,22,0.6666666666666666,70.1,608,143,92.8,171,371,0.3697478991596639,0.7183770883054893,0.503,0.191,107.8,0
2015,1264,Manhattan,Metro Atlantic Athletic Conference,16,33,19,0.5757575757575758,68,451,55,99.4,167,279,0.3695652173913043,0.7189922480620154,0.494,0.239,100.2,0
2015,1279,Mississippi,Southeastern Conference,11,34,21,0.6176470588235294,66.6,495,64,99.2,139,273,0.3729281767955801,0.7913832199546486,0.478,0.187,112.2,0
2015,1295,N Dakota St,Summit League,15,31,21,0.6774193548387096,61.5,552,87,100.7,95,206,0.4061624649859944,0.7093023255813954,0.49700000000000005,0.165,100.8,0
2015,1308,New Mexico St,Sun Belt Conference,15,32,21,0.65625,64,496,88,98.1,139,259,0.388,0.7281947261663286,0.506,0.20600000000000002,103.9,0
2015,1316,North Florida,Atlantic Sun Conference,16,32,20,0.625,67.5,526,92,105,123,275,0.3939393939393939,0.7354166666666667,0.536,0.179,105.2,0
2015,1318,Northeastern,America East Conference,14,35,23,0.6571428571428571,63.6,587,88,101,117,350,0.46646341463414637,0.75,0.545,0.155,107,0
2015,1329,Oklahoma St,Big 12 Conference,9,31,17,0.5483870967741935,64,417,94,95.4,150,206,0.38095238095238093,0.7256857855361596,0.502,0.21100000000000002,110.7,0
2015,1344,Providence,Big East Conference,6,34,22,0.6470588235294118,65.7,567,106,93.7,173,337,0.315625,0.7259786476868327,0.484,0.19699999999999998,111.6,0
2015,1345,Purdue,Big Ten Conference,9,34,21,0.6176470588235294,65,541,123,93.9,124,330,0.32602739726027397,0.694017094017094,0.503,0.17600000000000002,110.5,0
2015,1352,Robert Morris,Northeast Conference,16,35,20,0.5714285714285714,66,465,56,103.3,176,266,0.45901639344262296,0.7185185185185186,0.501,0.218,100.7,0
2015,1372,SF Austin,Southland Conference,12,31,26,0.8387096774193549,66.4,590,84,98.8,192,476,0.3983739837398374,0.7433489827856025,0.556,0.245,111,0
2015,1374,SMU,Western Athletic Conference,6,33,26,0.7878787878787878,63.6,685,112,94.6,182,418,0.3771043771043771,0.7086092715231788,0.521,0.203,111.1,0
2015,1385,St John's,Big East Conference,9,32,20,0.625,67,551,152,94.7,165,266,0.37941176470588234,0.6894117647058824,0.493,0.195,110.6,0
2015,1400,Texas,Big 12 Conference,11,34,20,0.5882352941176471,62.8,576,160,90.7,89,277,0.34770114942528735,0.7208791208791209,0.491,0.14,110.3,0
2015,1411,TX Southern,Southwest Athletic Conference,15,35,22,0.6285714285714286,63.7,537,69,108.1,133,257,0.37037037037037035,0.6975524475524476,0.495,0.187,101.9,0
